LIMIT,K,MEAN_ERROR,STD_ERROR,FAILRATE,MAX_ERROR,MIN_ERROR,MEDIAN_ERROR,25th_PERCENTILE,75th_PERCENTILE,90th_PERCENTILE,95th_PERCENTILE,99th_PERCENTILE,99.99th_PERCENTILE
18,6,11.469682801665122,11.168846663137352,0.04590459045904591,79.96671563285695,2.7939677238464355e-09,8.383661672624552,3.945946098414545,14.712996235217464,24.3225205195855,33.68524026490871,56.232358306842826,79.30338105244178
18,7,11.388764023750188,10.84129152150722,0.04590459045904591,79.96671563285695,2.7939677238464355e-09,8.407995280396266,4.022269168599829,14.75309627210093,24.316627280206333,33.17015657659444,53.59161416133185,78.93243747749145
18,8,11.406885368221477,10.80987747395091,0.04770477047704771,79.96671563285695,2.7939677238464355e-09,8.300045305489284,4.108136268034793,14.491611296332906,24.304755067953668,32.381601274357834,54.18940636718853,79.06993732672368
18,9,11.43200966756271,10.681350746970466,0.04950495049504951,77.19863713286084,2.7939677238464355e-09,8.51005279225355,4.279002889942743,14.621662384457872,24.251517614015754,32.747706714677136,50.86354595708011,76.69996529061738
18,10,11.484976862533477,10.617169954945954,0.05310531053105311,73.74456572724537,6.51925802230835e-09,8.477280503000067,4.364226155640034,14.831851660717529,24.363622218826734,32.98581568444192,51.416756870593716,73.67786794850502
18,11,11.514275483344887,10.57694383062466,0.054005400540054004,74.38394022377422,6.51925802230835e-09,8.607068682324506,4.4334121805174895,15.020122894799728,23.77013555467272,33.15449068126346,51.813853355138114,73.9294252449537
18,12,11.556089386718945,10.489849328633488,0.0576057605760576,74.91996295938588,6.51925802230835e-09,8.43085430589052,4.558881879818342,15.02927602600153,23.77789150204629,32.79438031895437,49.140031187163466,74.16277124071571
18,13,11.563235961921064,10.398785621250603,0.062106210621062106,75.37575105433527,6.51925802230835e-09,8.562528478197551,4.532843509425296,14.802650974012492,23.982775219361464,33.15882981665921,49.722637050781564,74.44810864089384
18,14,11.542785305354545,10.397938165361932,0.063006300630063,75.76802410380093,6.51925802230835e-09,8.671381154771273,4.479929861583204,14.864309725462542,23.661773351563788,33.15010046214557,51.015661554938205,74.99155530596998
18,15,11.518284721618015,10.322223058426232,0.0639063906390639,71.75206921360837,5.587935447692871e-09,8.711188239147326,4.480209643397272,14.808300248300377,23.67515198209162,32.561221739461935,49.60611403212719,71.2242163720838
19,1,12.168730735590161,12.924257375167773,0.0144014401440144,85.20359663887409,0.0,8.07599407715359,3.1764079222144517,17.35712984647252,26.98883621931382,37.0225806365878,63.274562879007085,85.05242511785757
19,2,11.758790040323394,11.91400184407145,0.017101710171017102,86.76602045094229,0.0,8.174067840112473,3.580027117927187,16.126090552883483,25.497552549641433,35.99152899376789,60.976231496455256,86.44480303916141
19,3,11.75530247543473,11.531752032537554,0.020702070207020702,79.96671563285695,9.313225746154785e-10,8.41012734298575,3.980814443404507,15.816165360292185,25.487425558760066,35.219236099005485,58.21403580382952,79.47724792514387
19,4,11.823194470941143,11.615582287782535,0.021602160216021602,79.96671563285695,2.7939677238464355e-09,8.071253347875356,4.016848848408902,15.74054075047013,25.58943931451534,34.904197128048935,59.27233287096789,79.41153808726163
19,5,11.743095047559795,11.610717342199203,0.027002700270027002,79.96671563285695,2.7939677238464355e-09,8.32577798833583,4.072256771097754,14.966827548412397,24.668702287193085,35.18010259651842,61.52294893730622,79.37583795383968
19,6,11.731923776642214,11.558277721211269,0.027002700270027002,79.96671563285695,2.7939677238464355e-09,8.42575648449413,3.991741962294396,15.11155645047638,25.200878103457008,34.59163695964957,58.03630347434838,79.3502933532309
19,7,11.617471966532175,11.26043838973805,0.0279027902790279,79.96671563285695,2.7939677238464355e-09,8.361938935873928,4.088600880005785,15.038078164634587,24.58723459640643,33.83308790341552,56.75901890857045,79.07207793019573
19,8,11.59723402835402,11.097503060911464,0.0315031503150315,79.96671563285695,2.7939677238464355e-09,8.207704422948478,4.185286633967275,15.368350504155826,23.912166088997207,33.7238648275041,56.69106123263096,78.79145023812063
19,9,11.602619738366748,10.912458476902083,0.034203420342034205,77.19863713286084,2.7939677238464355e-09,8.502920315789286,4.275630611046854,15.19740553865253,24.180926510363445,33.49980445400448,57.07067350739634,76.04736254279362
19,10,11.609589290568357,10.85196300089321,0.036003600360036005,73.10995317976348,6.51925802230835e-09,8.556040861283032,4.4341154164501395,15.07612901956044,24.303761074607454,33.69903092594322,57.3672919191815,72.48482480958006
19,11,11.647036643048445,10.736188226665526,0.036003600360036005,70.05522613977013,6.51925802230835e-09,8.562390089181445,4.51502218265588,15.21772671789839,24.15412925249075,33.22185886343324,56.76183955898176,69.77105379726747
19,12,11.642342272463992,10.613497829907688,0.037803780378037805,68.48214013865254,6.51925802230835e-09,8.410282836813193,4.595989183873396,15.15711077745664,23.73793372146795,33.58753052450338,54.54547143826746,68.36376026780873
19,13,11.671992130104998,10.574840875905176,0.039603960396039604,69.76930755886501,6.51925802230835e-09,8.563694413822184,4.605570163508974,14.867417699054453,23.84801570123044,33.79693195528889,54.870939961011366,69.47248348418886
19,14,11.690558619884872,10.58759991063358,0.041404140414041404,70.53124413655503,6.51925802230835e-09,8.636926194647655,4.6030326483007755,15.040767799246236,23.95877714673033,33.931317636344616,54.84244572719817,70.12020472477546
19,15,11.697601056667166,10.537876096717637,0.04410441044104411,71.2132051813011,5.587935447692871e-09,8.77375646459934,4.553603430744888,14.859821975051641,24.31409593839512,33.96950381182278,53.56345269244257,70.71107350255751
20,1,12.29310549877681,13.337143036268237,0.0072007200720072,85.20359663887409,0.0,8.071253347875356,3.196429656237826,17.35712984647252,27.34561584766532,37.50200262196464,64.89384721564072,85.07720617564823
20,2,11.777464762854262,12.176380385445631,0.013501350135013501,86.76602045094229,0.0,8.096594386102458,3.580027117927187,16.179797877597075,25.463293533496966,35.762045781517685,63.288696446635235,86.46934742352782
20,3,11.587596333541955,11.493487352085433,0.0153015301530153,83.82177286358665,9.313225746154785e-10,8.171071234548617,3.9476248486995704,15.532423872616945,25.015444416212,34.803205465101186,60.12806035922703,83.4004151082676
20,4,11.684570209712577,11.478110008248468,0.016201620162016202,79.96671563285695,2.7939677238464355e-09,8.007475486612664,3.94015620723547,15.531957241587204,25.548155861477763,34.9653825762599,58.085912168171994,79.50881017360486
20,5,11.693364575323818,11.426676595297094,0.019801980198019802,79.96671563285695,2.7939677238464355e-09,8.38124193889847,4.034673597366911,15.028796705294711,24.796567808265966,34.945546635056246,59.2169000130926,79.45010791947813
20,6,11.689657993131046,11.422082602492639,0.019801980198019802,79.96671563285695,2.7939677238464355e-09,8.382937472535753,3.96249479371142,15.20823993039856,25.218696011260988,34.53136045768479,59.581284153312886,79.41051566084158
20,7,11.612885423063842,11.317819253866087,0.021602160216021602,79.96671563285695,2.7939677238464355e-09,8.321192280343677,3.9683944698922358,15.183187319208768,24.832603188712834,34.0023994296397,58.59890450597615,79.38363802106613
20,8,11.63655460257851,11.181036874106487,0.023402340234023402,79.96671563285695,2.7939677238464355e-09,8.268963992096987,4.1105797993432125,15.373035975603347,24.252913789347478,34.080276713059824,56.23157441296823,79.10736441702339
20,9,11.667994210507471,11.072146183978075,0.024302430243024302,77.19863713286084,2.7939677238464355e-09,8.527066900704316,4.273771652839423,15.069409466830567,24.388567441088046,33.851045670640154,53.91192721768545,75.89838789418582
20,10,11.671028776535081,11.00981550613645,0.025202520252025202,73.10995317976348,6.51925802230835e-09,8.52847499984363,4.374990699772043,15.075092687379435,24.396302795442825,34.09243132263338,54.87582052710126,72.35155727282586
20,11,11.684542553736376,10.8891091594887,0.025202520252025202,70.05522613977013,6.51925802230835e-09,8.562390089181445,4.427197912861869,15.31078525743228,24.583293404324,33.62035141509894,55.4043934933057,69.66597704226885
20,12,11.688352077838422,10.731565413710342,0.027002700270027002,67.6202081557321,6.51925802230835e-09,8.43184745288909,4.4930733806776315,15.212228620551084,24.400485659390128,34.115500969654455,53.610186265987096,67.59358682813533
20,13,11.715049955629917,10.685765862160222,0.0279027902790279,68.60398231929044,6.51925802230835e-09,8.61623807162223,4.444689698730381,14.905236515305939,24.197138786369237,33.445300130834944,53.88569184264323,68.51291328200581
20,14,11.734012243449769,10.65479142747103,0.0297029702970297,69.78451451323924,6.51925802230835e-09,8.62828912981385,4.504871410512787,15.294526973744928,24.624278150333087,33.90118952943203,51.98256043608289,69.5539413303466
20,15,11.722927259432202,10.594631049513293,0.0306030603060306,70.4957462231446,5.587935447692871e-09,8.849265928766686,4.483154016305056,15.275142280081143,24.55701340697285,33.85036067655466,51.49208675680513,69.88605426114218
21,1,12.401600642466367,13.202103608415088,0.0054005400540054005,85.20359663887409,0.0,8.14595138717152,3.274089223437649,17.606721029076407,27.795750305524678,37.23494649412624,64.86102592659692,85.13683151512113
21,2,11.81776688264317,12.138883363690843,0.008100810081008101,86.76602045094229,0.0,8.079428836030694,3.665421146599586,16.5343109297703,25.767982805868062,35.34351734513605,63.56765692622818,86.44185879157413
21,3,11.63256298195266,11.482369885019835,0.009000900090009001,79.96671563285695,9.313225746154785e-10,8.151139933828537,3.9889607470653847,15.816165359599541,25.019092508408804,34.52393134795787,58.367324105060575,79.60980561683414
21,4,11.742010126511657,11.593926584997213,0.010801080108010801,79.96671563285695,2.7939677238464355e-09,8.001716455729895,3.962152868515918,15.561189330391478,25.57418042934956,34.8354452368723,57.700829698278525,79.75295943714497
21,5,11.730645418438074,11.520727799379417,0.011701170117011701,79.96671563285695,2.7939677238464355e-09,8.22988910344968,3.9817930129178443,14.952647948995555,25.055011989584102,34.929824214511264,59.29578865257096,79.5272691580665
21,6,11.726880676618585,11.482782324014877,0.011701170117011701,79.96671563285695,2.7939677238464355e-09,8.353614282208959,3.9504837481419917,15.332973121818775,25.822006398465973,34.936085374706224,59.70240869668861,79.27957867845028
21,7,11.70184160822207,11.376327523600343,0.0153015301530153,79.96671563285695,2.7939677238464355e-09,8.32554638066527,3.967924321049847,15.236705258451087,25.4192597785805,35.47297032620707,55.647520242724426,79.10916480753191
21,8,11.70009544644079,11.32412126818347,0.016201620162016202,79.96671563285695,2.7939677238464355e-09,8.307218614814161,4.108058606202456,15.46104290693944,24.873993172511756,34.61348660455527,58.097503991448775,78.90841010419504
