LIMIT,K,MEAN_ERROR,STD_ERROR,FAILRATE,MAX_ERROR,MIN_ERROR,MEDIAN_ERROR,25th_PERCENTILE,75th_PERCENTILE,90th_PERCENTILE,95th_PERCENTILE,99th_PERCENTILE,99.99th_PERCENTILE
19,11,11.895718670787575,11.900301359474179,0.03,64.8061702684516,0.4782516069193328,8.159224553227654,4.752742751996294,14.314372806032944,25.117430613301096,34.642962896130875,62.43622217800311,64.7824707875471
19,12,11.776751549682919,11.526722238893662,0.04,62.400521063661664,0.48582015045611127,8.360528529127592,4.774273331237085,14.382541346220286,24.787379866270363,34.67516775796722,59.41201514142369,62.37063600443928
19,13,11.823241267240748,11.33148243824383,0.05,62.45616205289646,0.5698227588211379,8.07773597747949,4.721022145995293,13.992657698522438,24.72533769931105,35.22295924276188,55.05413619292522,62.382141794296636
19,14,12.017812228661153,11.339621899673833,0.05,62.404369342715796,0.5312569703006332,8.506588792814027,4.627322779445695,14.469355575563869,24.494591917140397,35.23181736196053,56.54380780433557,62.34576372733191
19,15,12.183652382983398,11.495781705780916,0.05,62.36104356259819,0.6013165317529723,8.854251879741563,4.704274331491284,15.042508033618743,24.696469779431467,37.10053077899969,56.690566051747915,62.304338787489606
20,1,12.653320132196676,14.836112719185156,0.0,82.16069111974144,0.35509034645897347,7.43721644130645,3.226050330618636,14.803592327234792,30.883480734096253,46.237261876006265,63.47435492316586,81.97382775777538
20,2,11.468950326769136,13.044825287929706,0.01,62.4279627947812,0.35509034645897347,6.280993023555081,4.1157645755112835,12.288622835102654,27.95774671182016,44.12205873904101,56.479672404440535,62.368479890877715
20,3,11.520924838386025,13.103747300132078,0.01,61.987519980486645,0.35509034645897347,6.7285193433570685,3.5434770455348703,12.288622835102654,28.221579612073803,42.51590849385915,57.90936966399647,61.94673847732169
20,4,11.930131662001518,13.172484890994161,0.02,61.848587458692535,0.9469747335957335,6.780980966596596,3.636787368066114,13.356350784397895,29.545246730154094,44.498262193402184,58.65978111544165,61.816699395259995
20,5,12.12260730388706,12.943931144862708,0.03,61.87699770404014,1.1818793281888027,7.5180049220270035,3.9827646523062956,13.96149827171712,28.080958651462876,46.79819311640678,59.04650930122883,61.84869282001201
20,6,11.828130593801559,12.470427438983302,0.03,61.897694249626,1.1680183031302303,7.278658631785851,3.618767296409211,15.696138501760199,28.855140326889767,40.46610811679118,54.996104487934865,61.82867835200904
20,7,11.706324033211867,12.439200215587476,0.03,61.913336852977444,0.7868112873112357,7.044045563982116,3.791928487611041,15.027921367883762,26.113074712931585,37.8969113006835,60.08140923401258,61.89501757678779
20,8,11.716626172570646,12.299450112069636,0.03,62.01148164941003,0.7517370278081411,7.288134438180217,3.9929609745592733,15.397264027180901,26.730330956860634,35.04704475815321,59.065191950215905,61.98201875241807
20,9,11.774504089904013,11.979322130289422,0.03,62.01266223475942,0.5996685508090707,7.959803575986287,4.115518265923171,15.215127637744846,25.84555722371686,34.35030880094616,56.27959944601377,61.95533160687192
20,10,11.738302637520421,11.821461291355236,0.03,62.41598633101543,0.2222472337261797,8.086578419758514,4.388200383613646,14.435847131518385,25.125553905127294,34.996774891721934,55.136707799652,62.34319354570175
20,11,11.638714427771644,11.714432616306457,0.03,62.453266391007084,0.4782516069193328,8.193505024593376,4.623396752283484,13.951547737054433,25.485080362987524,34.83152751870966,56.86006198853668,62.39733434698235
20,12,11.65807224397972,11.64040986945585,0.03,62.417075733261,0.48582015045611127,8.284725140575922,4.654039061711049,14.251235687598538,25.7421521710862,34.137801399620436,56.36879209862172,62.35659289691457
20,13,11.727577405058693,11.482572424195341,0.03,62.38649074305472,0.5698227588211379,8.126832985508209,4.713055935363536,13.818655006001018,25.725880350434522,34.256223857027805,55.163361116171544,62.31425944678585
