LIMIT,K,MEAN_ERROR,STD_ERROR,FAILRATE,MAX_ERROR,MIN_ERROR,MEDIAN_ERROR,25th_PERCENTILE,75th_PERCENTILE,90th_PERCENTILE,95th_PERCENTILE,99th_PERCENTILE,99.99th_PERCENTILE
7,8,13.522866220537699,13.975175374288067,0.0387038703870387,83.5306442680773,2.7939677238464355e-09,8.866376028551345,4.185299882362882,17.202504464959404,32.05521624980132,44.25894535872073,66.82538034372091,83.06094328743814
7,9,13.583301947529772,13.877062852394827,0.0387038703870387,79.2211334832073,2.7939677238464355e-09,9.073656459170262,4.228785728420952,17.23404283761857,32.173539636841426,45.40647894367578,65.01852415230039,78.94414073453159
7,10,13.546896603035886,13.640834096573819,0.039603960396039604,79.2952845540193,5.587935447692871e-09,9.06133121895065,4.3181223596724525,17.416319223965118,31.800583742421882,42.45215944202698,64.13525444036081,78.98677260842004
7,11,13.564551668659654,13.48631614527177,0.0405040504050405,79.35602142477775,5.587935447692871e-09,9.25080466466237,4.423533971171105,17.488727881817297,31.059092779697743,41.82758362335977,63.88063032942276,79.11015415812818
7,12,13.636054301752397,13.486074269270276,0.041404140414041404,79.40668199601754,5.587935447692871e-09,9.204472993285199,4.527504325914317,17.422243361682433,31.01561538926802,41.97703503369211,64.91218781170662,78.98412116415018
7,13,13.662643363552993,13.43618298818502,0.0423042304230423,79.44958159558456,5.587935447692871e-09,9.147187126912057,4.4717839472489835,17.41267803493559,31.54495148175769,41.43171046305354,64.08138570664804,79.03218866511524
7,14,13.68730291962942,13.344730857181128,0.0423042304230423,79.48637669042127,5.587935447692871e-09,9.308048788111709,4.565553163755135,17.63470890002931,31.99409136073969,41.829762684190236,64.0946424110476,79.09044360425429
7,15,13.692264905204276,13.255132753605524,0.043204320432043204,79.59671494975872,4.6566128730773926e-09,9.401904253673784,4.585568581499036,18.07554175918615,31.82988149480883,41.97836391143207,63.04191239516023,78.9331661549958
6,1,14.871106607650466,16.85074979978011,0.018901890189018902,85.25322048549128,0.0,8.901029770006094,3.4596610128829743,20.11169858537415,36.00216910655443,57.38437522684076,74.2940755743095,85.21392171151668
6,2,14.0755943801579,15.812348118054597,0.018901890189018902,81.70412235415559,0.0,8.16530566392401,3.7961937989847243,18.4902632515796,35.5413205190242,51.77322614522269,71.13291159671661,81.66036715973956
6,3,13.843790350447136,15.075245098075273,0.018901890189018902,82.65555100065353,0.0,8.392205160049874,4.142344188531351,17.513784591493803,33.57463548057242,47.44083978343519,69.66380452500971,82.50818522663371
6,4,13.690686182321409,14.629055022380513,0.018901890189018902,80.7931393611451,0.0,8.405460239136593,4.238331931871692,17.55570393962001,32.35354609219808,47.35195685848667,68.06179271627181,80.58172254358568
6,5,13.617866577883797,14.322426574283252,0.018901890189018902,81.02395546697053,0.0,8.882181214881326,4.277939080370039,17.619106093417795,32.90267349022163,44.95340584500991,68.13698435690462,80.7874027754867
6,6,13.623429696323567,14.206518102184866,0.018901890189018902,81.17843752430974,0.0,8.708705453819068,4.228283852998657,17.432869773106958,33.133189530206444,44.40380051518556,67.73874410173948,80.92506173678164
6,7,13.54729215244035,13.992964252873971,0.018901890189018902,82.3313442493442,2.7939677238464355e-09,8.949032878185776,4.1736604126442085,17.266374986782388,32.622060099655684,44.334830541234325,65.64491006798629,81.9696256686512
6,8,13.534989402432494,13.890887539242883,0.018901890189018902,83.5306442680773,2.7939677238464355e-09,8.910374488261589,4.238471829020172,17.226054415836604,31.98627656320394,43.529439257133134,66.61574847591577,83.05125873113573
6,9,13.578575820270638,13.783429143627878,0.019801980198019802,79.2211334832073,2.7939677238464355e-09,9.145865833864573,4.252273738337534,17.187840457841627,31.83073395586574,44.326661885132005,64.83923986395773,78.93868914341385
6,10,13.558426927629302,13.549171989552136,0.019801980198019802,79.2952845540193,5.587935447692871e-09,9.169468934498461,4.353136403579013,17.375478362348808,31.731779801405253,42.16113946394264,63.690368359071954,78.98040557014275
6,11,13.588993721595786,13.396337155918696,0.019801980198019802,79.35602142477775,5.587935447692871e-09,9.332757092386496,4.467039339295858,17.474107862619682,31.03785717524996,41.604381470881485,63.53340141597012,79.10484434861344
6,12,13.662587098575349,13.397239344896986,0.020702070207020702,79.40668199601754,5.587935447692871e-09,9.303401106817091,4.577561397541429,17.438561440784504,30.962050240730076,41.89703702940906,64.5067081402736,78.97498686045431
6,13,13.680838224614796,13.344043806679116,0.020702070207020702,79.44958159558456,5.587935447692871e-09,9.23104999002206,4.507010792352964,17.49165687262465,31.42373655646711,41.372903705124614,63.92594296996957,79.02276493009114
6,14,13.713116744302775,13.25710633222446,0.020702070207020702,79.48637669042127,5.587935447692871e-09,9.45747653946184,4.605739232398517,17.65779964660854,31.911051835934703,41.59465643822951,64.02433676643811,79.08150438123697
6,15,13.716404922537837,13.164102963440456,0.020702070207020702,79.59671494975872,4.6566128730773926e-09,9.544287283199562,4.666736413381637,18.065984931388893,31.605165224339064,41.71732155519967,62.95066026939664,78.9175458914667
