LIMIT;K;MEAN_ERROR;STD_ERROR;MAX_ERROR;MIN_ERROR;MEDIAN_ERROR;25th_PERCENTILE;75th_PERCENTILE;90th_PERCENTILE;95th_PERCENTILE;99th_PERCENTILE;99.99th_PERCENTILE
5;9;13.93077386084574;13.765297422365649;68.18042951268544;0.25562397196345277;9.478686143563436;3.6624059893849816;19.171134479688465;33.60149191049509;38.718632961185286;62.075386884450516;68.11937908640309
4;9;13.737206250675207;13.764850115978966;68.18042951268544;0.25562397196345277;9.069198453590243;3.414532395235904;18.92628030435044;33.59255544684622;38.47269580392286;61.991756163515866;68.1185427791937
3;9;13.742154535913654;13.762892053507542;68.18042951268544;0.25562397196345277;9.069198453590243;3.414532395235904;18.92628030435044;33.59255544684622;38.47269580392286;61.991756163515866;68.1185427791937
20;10;x;x;x;x;x;x;x;x;x;x;x
19;10;x;x;x;x;x;x;x;x;x;x;x
18;10;x;x;x;x;x;x;x;x;x;x;x
17;10;x;x;x;x;x;x;x;x;x;x;x
16;10;x;x;x;x;x;x;x;x;x;x;x
15;10;x;x;x;x;x;x;x;x;x;x;x
14;10;x;x;x;x;x;x;x;x;x;x;x
13;10;x;x;x;x;x;x;x;x;x;x;x
12;10;x;x;x;x;x;x;x;x;x;x;x
11;10;x;x;x;x;x;x;x;x;x;x;x
10;10;x;x;x;x;x;x;x;x;x;x;x
9;10;14.283069774644897;13.799201065572392;69.5209667128907;0.525955954635077;9.62006782404465;4.026026546998688;19.219446051566326;33.778178665169094;39.1761475538384;59.539737162283416;69.4211544173846
8;10;13.958048252072619;13.816313290093513;69.5209667128907;0.45122855385835714;9.001175608637379;3.8873595426497274;18.826360844645997;33.62303929248647;38.65102996169502;59.250426160816595;69.41826130736983
7;10;13.760230461463815;13.744262697689589;69.5209667128907;0.45122855385835714;8.921185676141791;3.8608156865058505;18.62981824118583;33.61369455609386;38.38847116562326;59.10577066008308;69.41681475236246
6;10;13.813975146419487;13.779106938077902;69.5209667128907;0.45122855385835714;8.921185676141791;3.8608156865058505;18.62981824118583;33.61369455609386;38.38847116562326;59.10577066008308;69.41681475236246
5;10;13.864001267260898;13.668581984473109;69.5209667128907;0.45122855385835714;9.001175608637379;3.8696636385538095;19.219446051566326;33.60434981970125;38.125912369551564;58.96111515934957;69.41536819735528
4;10;13.747235966786832;13.680712825646108;69.5209667128907;0.45122855385835714;8.921185676141791;3.6484057090969753;19.022903448106163;33.59500508330864;37.86335357347988;58.81645965861626;69.41392164234789
3;10;13.70365507314262;13.642870000725145;69.5209667128907;0.45122855385835714;8.921185676141791;3.6484057090969753;19.022903448106163;33.59500508330864;37.86335357347988;58.81645965861626;69.41392164234789
20;11;x;x;x;x;x;x;x;x;x;x;x
19;11;x;x;x;x;x;x;x;x;x;x;x
18;11;x;x;x;x;x;x;x;x;x;x;x
17;11;x;x;x;x;x;x;x;x;x;x;x
16;11;x;x;x;x;x;x;x;x;x;x;x
15;11;x;x;x;x;x;x;x;x;x;x;x
14;11;x;x;x;x;x;x;x;x;x;x;x
13;11;x;x;x;x;x;x;x;x;x;x;x
12;11;x;x;x;x;x;x;x;x;x;x;x
11;11;x;x;x;x;x;x;x;x;x;x;x
10;11;x;x;x;x;x;x;x;x;x;x;x
9;11;14.165936432833968;13.48320136780679;67.96131968771192;0.4782516069193328;9.881382399476362;4.6755113658622784;19.333650474064783;33.30770453279922;38.535527951807666;59.87027583427995;67.88040924917757
8;11;13.801813137673495;13.466708719646347;67.96131968771192;0.4782516069193328;9.700888979145686;4.175119370237419;19.168974112141367;33.03373628044402;38.092218325554875;59.6357528240356;67.87806401907505
7;11;13.66830044444702;13.422049487856954;67.96131968771192;0.4782516069193328;9.599082459222211;4.05538653214078;19.086635931179657;32.86421286130527;37.87056351242841;59.518491318913334;67.8768914040238
6;11;13.672352786369059;13.420431742597236;67.96131968771192;0.4782516069193328;9.599082459222211;4.05538653214078;19.086635931179657;32.86421286130527;37.87056351242841;59.518491318913334;67.8768914040238
5;11;13.769129085307346;13.352372980974494;67.96131968771192;0.4782516069193328;9.700888979145686;4.102898859478924;19.333650474064783;32.694689442166535;37.64890869930201;59.40122981379107;67.8757187889727
4;11;13.638138662086915;13.309504957440017;67.96131968771192;0.4782516069193328;9.599082459222211;4.1503445782855355;19.251312293103076;32.5251660230278;37.42725388617561;59.283968308668975;67.87454617392144
3;11;13.638138662086915;13.309504957440017;67.96131968771192;0.4782516069193328;9.599082459222211;4.1503445782855355;19.251312293103076;32.5251660230278;37.42725388617561;59.283968308668975;67.87454617392144
20;12;x;x;x;x;x;x;x;x;x;x;x
19;12;x;x;x;x;x;x;x;x;x;x;x
18;12;x;x;x;x;x;x;x;x;x;x;x
17;12;x;x;x;x;x;x;x;x;x;x;x
16;12;x;x;x;x;x;x;x;x;x;x;x
15;12;x;x;x;x;x;x;x;x;x;x;x
14;12;x;x;x;x;x;x;x;x;x;x;x
13;12;x;x;x;x;x;x;x;x;x;x;x
12;12;x;x;x;x;x;x;x;x;x;x;x
11;12;x;x;x;x;x;x;x;x;x;x;x
10;12;x;x;x;x;x;x;x;x;x;x;x
9;12;14.212953803681655;13.275663200784315;66.66681793287208;0.48582015045611127;9.764915247199827;4.527504325914317;19.69701203184082;33.11839879775195;37.19189312628273;58.579483896833814;66.58594459251168
8;12;13.856709621989966;13.255218031322164;66.66681793287208;0.48582015045611127;9.155094968671943;4.461806304001392;19.5096631139646;32.681102346835374;36.96719570427074;58.3450684175284;66.58360043771854
7;12;13.71959420769083;13.215994630348883;66.66681793287208;0.48582015045611127;8.813452090937794;4.408989088922708;19.415988655026492;32.36271315353266;36.854846993264715;58.22786067787562;66.58242836032198
6;12;13.726982272328886;13.212960077436982;66.66681793287208;0.48582015045611127;8.813452090937794;4.408989088922708;19.415988655026492;32.36271315353266;36.854846993264715;58.22786067787562;66.58242836032198
5;12;13.823052472987564;13.148793182107495;66.66681793287208;0.48582015045611127;9.155094968671943;4.426594827282269;19.69701203184082;32.04432396022996;36.74249828225872;58.11065293822283;66.58125628292558
4;12;13.712845250843186;13.094385086751519;66.66681793287208;0.48582015045611127;8.813452090937794;4.444200565641831;19.60333757290271;31.725934766927267;36.63014957125273;57.99344519857021;66.580084205529
3;12;13.712845250843186;13.094385086751519;66.66681793287208;0.48582015045611127;8.813452090937794;4.444200565641831;19.60333757290271;31.725934766927267;36.63014957125273;57.99344519857021;66.580084205529
20;13;x;x;x;x;x;x;x;x;x;x;x
19;13;x;x;x;x;x;x;x;x;x;x;x
18;13;x;x;x;x;x;x;x;x;x;x;x
17;13;x;x;x;x;x;x;x;x;x;x;x
16;13;x;x;x;x;x;x;x;x;x;x;x
15;13;x;x;x;x;x;x;x;x;x;x;x
14;13;x;x;x;x;x;x;x;x;x;x;x
13;13;x;x;x;x;x;x;x;x;x;x;x
12;13;x;x;x;x;x;x;x;x;x;x;x
11;13;x;x;x;x;x;x;x;x;x;x;x
10;13;x;x;x;x;x;x;x;x;x;x;x
9;13;14.235089605641965;12.76686388103857;62.770931316325;0.5698227588211379;9.544752258944264;4.881801773365115;20.375828369993208;33.04203909112232;36.125005057408366;55.07204226880118;62.69394242584974
8;13;13.881771608636727;12.758379220402281;62.770931316325;0.5698227588211379;9.46617591922945;4.451064222224961;20.31506922869108;32.659003858371236;36.09558450071659;54.84888606452517;62.691710863806904
7;13;13.738099694666246;12.729203642742338;62.770931316325;0.5698227588211379;9.398469210587656;4.014656225132929;20.284689658040016;32.374893445182565;36.080874222370696;54.737307962387085;62.690595082785485
6;13;13.747210002758532;12.725268092317926;62.770931316325;0.5698227588211379;9.398469210587656;4.014656225132929;20.284689658040016;32.374893445182565;36.080874222370696;54.737307962387085;62.690595082785485
5;13;13.841082221602303;12.66441657638082;62.770931316325;0.5698227588211379;9.46617591922945;4.160125557496939;20.375828369993208;32.090783031993915;36.06616394402481;54.625729860249;62.68947930176423
4;13;13.750314190070467;12.60391295409506;62.770931316325;0.5698227588211379;9.398469210587656;4.30559488986095;20.345448799342144;31.80667261880527;36.05145366567892;54.514151758111076;62.68836352074281
3;13;13.746960379513576;12.605322434479586;62.770931316325;0.5698227588211379;9.398469210587656;4.30559488986095;20.345448799342144;31.80667261880527;36.05145366567892;54.514151758111076;62.68836352074281
20;14;x;x;x;x;x;x;x;x;x;x;x
19;14;x;x;x;x;x;x;x;x;x;x;x
18;14;x;x;x;x;x;x;x;x;x;x;x
17;14;x;x;x;x;x;x;x;x;x;x;x
16;14;x;x;x;x;x;x;x;x;x;x;x
15;14;x;x;x;x;x;x;x;x;x;x;x
14;14;x;x;x;x;x;x;x;x;x;x;x
13;14;x;x;x;x;x;x;x;x;x;x;x
12;14;x;x;x;x;x;x;x;x;x;x;x
11;14;x;x;x;x;x;x;x;x;x;x;x
10;14;x;x;x;x;x;x;x;x;x;x;x
9;14;14.536100801677753;12.742125415728585;59.43266485481514;0.5312569703006332;10.275424745122562;4.615198565928532;23.116086208997267;32.23314876161827;36.557482409734625;55.016534330654565;59.38850354957352
8;14;14.193536332406012;12.727442580973225;59.43266485481514;0.5312569703006332;9.827463145295262;4.198726712885793;21.985355356389114;31.89898287763604;36.43825795863374;54.88853054734558;59.38722351174039
7;14;14.044292077439192;12.70324764760769;59.43266485481514;0.5312569703006332;9.56127345607239;3.9243976894647696;21.41998993008504;31.729640986900662;36.37864573308328;54.824528655691054;59.386583492823824
6;14;14.049494021832809;12.700867340235805;59.43266485481514;0.5312569703006332;9.56127345607239;3.9243976894647696;21.41998993008504;31.729640986900662;36.37864573308328;54.824528655691054;59.386583492823824
